,title,genres,rating,director,imageUrl
80000,Only Me (1929),(no genres listed),2.0,Stanley Kubrick,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80001,Joy Ride (1928),Comedy,4.8,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80002,The Seven Castles of the Devil (1901),Drama|Fantasy,1.1,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80003,Magic Extinguisher (1901),(no genres listed),4.9,Francis Ford Coppola,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80004,The Triple Headed Lady (1901),(no genres listed),3.8,Francis Ford Coppola,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80005,"Panorama de la ligne de Cauterets, III. Le tunnel (1901)",Documentary,1.3,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80006,Day at the Circus (1901),(no genres listed),3.6,Christopher Nolan,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80007,Drama at the Bottom of the Sea (1901),(no genres listed),1.3,Christopher Nolan,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80008,Artistic Creation (1901),Comedy,1.1,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80009,Birth of the Pearl (1901),(no genres listed),1.1,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80010,Like Glass (2019),Drama,3.7,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80011,The Alchemists of Sound (2003),Documentary,1.6,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80012,The Trial (1993),Drama|Thriller,1.1,Francis Ford Coppola,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80013,Pearls Before Swine (1999),Drama|Romance,4.9,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80014,Dragon's Heaven (1988),Action|Adventure|Animation|Sci-Fi,2.6,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80015,Vigil (1984),Drama,1.5,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80016,Bird Island (2019),Documentary,3.4,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80017,Time of the Gods (1992),Documentary,5.0,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80018,Outlaw Country (2012),Crime|Drama,2.2,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80019,The Fighting Fists of Shanghai Joe (1973),Action|Western,3.3,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80020,Sister Swap: A Hometown Holiday (2021),Comedy|Romance,3.1,Francis Ford Coppola,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80021,"A Godwink Christmas: Second Chance, First Love (2020)",Romance,3.8,Stanley Kubrick,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80022,Christmas Sail (2021),Comedy|Romance,1.9,Stanley Kubrick,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80023,Christmas She Wrote (2020),Romance,1.4,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80024,Sinbad: Where U Been? (2010),Comedy,3.9,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80025,Michael Bublé's Christmas in the City (2022),(no genres listed),3.6,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80026,Pure Race (1995),Drama,1.3,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80027,Natural Enemy (2004),Crime|Drama|Mystery,2.2,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80028,Are You Lonesome Tonight? (2021),Crime|Mystery|Thriller,4.8,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80029,Gorbachev. Heaven (2020),Documentary,3.7,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80030,Bob Biswas (2021),Crime|Thriller,2.0,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80031,Through Main Street with an Orchestra (1986),Comedy|Drama|Romance,4.3,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80032,The Wedding Veil (2022),Comedy|Romance,1.8,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80033,300 Worte Deutsch (2015),Comedy,1.4,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80034,Burning (2002),(no genres listed),4.2,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80035,I Can't Believe I'm Telling You This (2008),(no genres listed),3.7,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80036,Cancerpants (2011),Documentary,1.1,Christopher Nolan,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80037,"Connected: An Autoblogography About Love, Death & Technology (2011)",Documentary,1.7,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80038,I Don't Hate Las Vegas Anymore (1994),(no genres listed),3.9,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80039,Everything About Her (2016),Comedy|Drama,2.3,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80040,An Eye for an Eye (2016),Documentary,3.0,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80041,Growing Up Coy (2016),Documentary,4.3,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80042,Lilac Time (1928),Drama|Romance|War,1.0,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80043,Midnight Limited (1940),Action|Adventure|Crime,3.2,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80044,Off to Bedlam (1901),Comedy|Fantasy,2.8,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80045,The Prolific Magical Egg (1903),Fantasy,1.9,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80046,Long Distance Wireless Photography (1908),Comedy|Sci-Fi,2.7,Francis Ford Coppola,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80047,"Ali Barbouyou and Ali Bouf, In Oil (1907)",(no genres listed),4.4,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80048,Kolt 15  GAP (1971),Documentary,4.7,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80049,Wicked Memoirs of Eugenie (1980),Drama,4.6,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80050,What Lies West (2019),(no genres listed),2.1,Christopher Nolan,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80051,Where Is Anne Frank (2021),Animation|Drama|Fantasy|War,3.9,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80052,Girlfriends (2021),Comedy,4.2,Christopher Nolan,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80053,Balaton Method (2015),Documentary,4.9,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80054,American Siege (2022),Action|Crime|Drama|Thriller,1.6,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
80055,Monster & Me (2013),Children,3.0,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
