,title,genres,rating,director,imageUrl
45000,Dark Bar (1988),Thriller,1.1,Martin Scorsese,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45001,Sud (1993),Comedy,3.3,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45002,Strange Frequency (2001),Comedy|Fantasy|Horror|Sci-Fi,4.3,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45003,City of Tiny Lights (2016),Crime|Drama|Thriller,4.3,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45004,The Other Side of the Underneath (1972),Drama|Horror,4.4,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45005,T2: Trainspotting (2017),Crime|Drama,2.3,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45006,The Land Beyond the Sunset (1912),Drama|Fantasy,2.5,Quentin Tarantino,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45007,Ánima Buenos Aires (2012),Animation,2.4,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45008,Every Second Counts (2009),Children|Documentary|Drama,4.3,Ridley Scott,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45009,Patient Zero (2017),Action|Drama|Horror|Thriller,3.5,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45010,Passage to Mars (2016),Adventure|Documentary|Sci-Fi,3.4,Francis Ford Coppola,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45011,Science Fiction Volume One: The Osiris Child,Sci-Fi,3.5,Alfred Hitchcock,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45012,DxM (2015),Action|Sci-Fi|Thriller,3.2,Stanley Kubrick,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45013,George Carlin: Playin' with Your Head (1986),Comedy|Documentary,1.1,James Cameron,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45014,Murder by Natural Causes (1979),Crime|Horror|Mystery,1.5,Stanley Kubrick,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
45015,Before I Fall (2017),Drama,1.9,Steven Spielberg,https://my-cobra.s3.ap-southeast-1.amazonaws.com/posters/v1-poster.png
